job_title,ai_exposure_score,career_resilience_score,archetype,positioning_summary,top_strengths,top_exposure_areas,recommendations
"Instrumentation Technician",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Maintenance Technician",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Field Service Technician",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Quality Engineer",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Reliability Engineer",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Control Systems Engineer",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Industrial Engineer",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Hardware Engineer",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Clinical Research Associate",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Research Data Manager",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Environmental Scientist",38,65,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Adaptability","Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Social Worker",34,68,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Case Worker",34,68,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Community Outreach Coordinator",34,68,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"School Counselor",34,68,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Project Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Program Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Operations Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Operations Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Retail Store Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Registered Nurse",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Primary Care Physician",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Physical Therapist",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Occupational Therapist",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Clinical Social Worker",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"High School Teacher",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Elementary Teacher",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Special Education Teacher",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Academic Advisor",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Account Executive",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Success Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Enterprise Account Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Solutions Consultant",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"HR Generalist",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Talent Acquisition Partner",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"People Operations Manager",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Executive Assistant",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Client Services Coordinator",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Office Administrator",31,72,"Human-Centered Strategist","Well positioned today—human leverage with manageable automation pressure.","Human-Centered Skills; Contextual Judgment; Adaptability","Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Financial Controller",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Finance Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"FP&A Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Risk Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Corporate Lawyer",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Employment Lawyer",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"General Counsel",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Chief Compliance Officer",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Product Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Director of Operations",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Chief of Staff",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Strategy Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Business Unit Director",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Sales Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Partnerships Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Channel Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Success Director",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Creative Director",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Brand Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Communications Director",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Product Marketing Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"HR Business Partner",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Head of People",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Organizational Development Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Supply Chain Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Procurement Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Director of Logistics",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Fulfillment Operations Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"City Planner",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Public Health Program Manager",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Nonprofit Program Director",27,76,"Strategic Integrator","Well positioned today—human leverage with manageable automation pressure.","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Moderate Structural Shift; Tool-Assisted Workflows","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"