job_title,category,primary_riasec_type,secondary_riasec_type,ilonaa_ai_risk_index,ai_exposure_score,career_resilience_score,key_risk_drivers,human_advantage_factors,recommended_next_moves
"Care Coordinator","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Nurse Practitioner","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Health Nurse","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"University Lecturer","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"School Principal","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Corporate Trainer","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Education Program Manager","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Procurement Specialist","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Warehouse Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Distribution Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Fleet Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Operations Coordinator","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Case Management Assistant","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Project Coordinator","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Documentation Specialist","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Policy Analyst","public sector/social work","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Administration Officer","public sector/social work","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Emergency Management Coordinator","public sector/social work","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"AI Research Scientist","AI/data","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Applied Scientist","AI/data","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Quantitative Researcher","AI/data","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Computer Vision Engineer","AI/data","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Behavioral Scientist","science/research","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Policy Research Analyst","science/research","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"UX Researcher","science/research","Investigative","Realistic",45,41,62,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Contextual Judgment; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Radiologist","healthcare","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Pharmacist","healthcare","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Clinical Laboratory Scientist","healthcare","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Anesthesiologist","healthcare","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Tool and Die Maker","skilled trades","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Instrumentation Technician","skilled trades","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Maintenance Technician","skilled trades","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Field Service Technician","skilled trades","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Quality Engineer","engineering/manufacturing","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Reliability Engineer","engineering/manufacturing","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Control Systems Engineer","engineering/manufacturing","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Industrial Engineer","engineering/manufacturing","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Hardware Engineer","engineering/manufacturing","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Clinical Research Associate","science/research","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Research Data Manager","science/research","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Environmental Scientist","science/research","Investigative","Realistic",43,38,65,"Industry Transformation Pace; Reduced Interpersonal Dependency; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Electrician","skilled trades","Realistic","Investigative",41,45,57,"Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Contextual Judgment; Specialized Expertise; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"HVAC Technician","skilled trades","Realistic","Investigative",41,45,57,"Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Contextual Judgment; Specialized Expertise; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Plumber","skilled trades","Realistic","Investigative",41,45,57,"Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Contextual Judgment; Specialized Expertise; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Automotive Technician","skilled trades","Realistic","Investigative",41,45,57,"Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Contextual Judgment; Specialized Expertise; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Project Manager","management/leadership","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Program Manager","management/leadership","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Operations Manager","management/leadership","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Operations Manager","management/leadership","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Retail Store Manager","management/leadership","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Registered Nurse","healthcare","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Primary Care Physician","healthcare","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Physical Therapist","healthcare","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Occupational Therapist","healthcare","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Clinical Social Worker","healthcare","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"High School Teacher","education","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Elementary Teacher","education","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Special Education Teacher","education","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Academic Advisor","education","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Account Executive","sales/customer success","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Success Manager","sales/customer success","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Enterprise Account Manager","sales/customer success","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Solutions Consultant","sales/customer success","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"HR Generalist","HR/people operations","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Talent Acquisition Partner","HR/people operations","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"People Operations Manager","HR/people operations","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Executive Assistant","administration/support","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Client Services Coordinator","administration/support","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Office Administrator","administration/support","Social","Enterprising",39,31,72,"Industry Transformation Pace; Routine Task Patterns","Human-Centered Skills; Contextual Judgment; Adaptability","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Financial Controller","finance/accounting","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Finance Manager","finance/accounting","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"FP&A Manager","finance/accounting","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Risk Manager","finance/accounting","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Corporate Lawyer","legal/compliance","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Employment Lawyer","legal/compliance","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"General Counsel","legal/compliance","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Chief Compliance Officer","legal/compliance","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Product Manager","management/leadership","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Director of Operations","management/leadership","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Chief of Staff","management/leadership","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Strategy Manager","management/leadership","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Business Unit Director","management/leadership","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Sales Manager","sales/customer success","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Partnerships Manager","sales/customer success","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Channel Manager","sales/customer success","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Customer Success Director","sales/customer success","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Creative Director","marketing/creative","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Brand Manager","marketing/creative","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Communications Director","marketing/creative","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Product Marketing Manager","marketing/creative","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"HR Business Partner","HR/people operations","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Head of People","HR/people operations","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Organizational Development Manager","HR/people operations","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Supply Chain Manager","operations/logistics","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Procurement Manager","operations/logistics","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Director of Logistics","operations/logistics","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Fulfillment Operations Manager","operations/logistics","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"City Planner","public sector/social work","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Public Health Program Manager","public sector/social work","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Nonprofit Program Director","public sector/social work","Enterprising","Social",35,27,76,"Moderate Structural Shift; Tool-Assisted Workflows","Strategic Thinking; Human-Centered Skills; Contextual Judgment","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Social Worker","public sector/social work","Social","Realistic",34,34,68,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Case Worker","public sector/social work","Social","Realistic",34,34,68,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Community Outreach Coordinator","public sector/social work","Social","Realistic",34,34,68,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"School Counselor","public sector/social work","Social","Realistic",34,34,68,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Specialized Expertise","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"