occupation_code,occupation_title,category,primary_riasec,secondary_riasec,current_ai_exposure,current_career_resilience,current_ilonaa_ai_risk_index,expected_ai_risk_band,expected_ai_risk_score,expected_rationale,mismatch_current_minus_expected,absolute_mismatch,likely_responsible_factor,mismatch_explanation
"ONET-00045","SQL Analyst","AI/data","Conventional","Social",57,49,53,"Medium",51,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","SQL Analyst (AI/data) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00046","Data Quality Analyst","AI/data","Conventional","Social",57,49,53,"Medium",51,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Data Quality Analyst (AI/data) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00133","Graphic Designer","marketing/creative","Artistic","Enterprising",33,70,35,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Graphic Designer (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00134","Marketing Copywriter","marketing/creative","Artistic","Enterprising",33,70,35,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Marketing Copywriter (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00135","Content Strategist","marketing/creative","Artistic","Enterprising",33,70,35,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Content Strategist (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00136","Brand Designer","marketing/creative","Artistic","Enterprising",33,70,35,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Brand Designer (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00137","Video Producer","marketing/creative","Artistic","Enterprising",33,70,35,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"routine/process structure likely overweighted","Video Producer (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00138","Digital Marketing Manager","marketing/creative","Artistic","Enterprising",42,67,40,"Low",38,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"decision consequence/accountability underweighted","Digital Marketing Manager (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00139","SEO Specialist","marketing/creative","Artistic","Enterprising",42,67,40,"Low",38,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"decision consequence/accountability underweighted","SEO Specialist (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00140","Performance Marketing Analyst","marketing/creative","Artistic","Enterprising",42,67,40,"Low",38,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"decision consequence/accountability underweighted","Performance Marketing Analyst (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00141","Marketing Automation Manager","marketing/creative","Artistic","Enterprising",42,67,40,"Low",38,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"decision consequence/accountability underweighted","Marketing Automation Manager (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00142","Social Media Strategist","marketing/creative","Artistic","Enterprising",42,67,40,"Low",38,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",2,2,"decision consequence/accountability underweighted","Social Media Strategist (marketing/creative) appears overestimated by 2 points versus human-prior benchmark."
"ONET-00005","Tax Accountant","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Tax Accountant (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00006","Audit Associate","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Audit Associate (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00007","Budget Analyst","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Budget Analyst (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00008","Treasury Analyst","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Treasury Analyst (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00009","Credit Analyst","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Credit Analyst (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00010","Revenue Operations Analyst","finance/accounting","Conventional","Enterprising",57,49,53,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Revenue Operations Analyst (finance/accounting) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00047","Machine Learning Engineer","AI/data","Conventional","Social",42,67,40,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","Machine Learning Engineer (AI/data) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00048","Data Scientist","AI/data","Conventional","Social",42,67,40,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","Data Scientist (AI/data) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00049","AI Product Analyst","AI/data","Conventional","Social",42,67,40,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","AI Product Analyst (AI/data) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00050","MLOps Engineer","AI/data","Conventional","Social",42,67,40,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","MLOps Engineer (AI/data) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00051","AI Research Scientist","AI/data","Conventional","Social",43,62,42,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","AI Research Scientist (AI/data) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00052","Applied Scientist","AI/data","Conventional","Social",43,62,42,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Applied Scientist (AI/data) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00053","Quantitative Researcher","AI/data","Conventional","Social",43,62,42,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Quantitative Researcher (AI/data) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00054","Computer Vision Engineer","AI/data","Conventional","Social",43,62,42,"Medium",41,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"routine/process structure likely overweighted","Computer Vision Engineer (AI/data) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00055","Project Manager","management/leadership","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Project Manager (management/leadership) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00056","Program Manager","management/leadership","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Program Manager (management/leadership) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00057","Operations Manager","management/leadership","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Operations Manager (management/leadership) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00058","Customer Operations Manager","management/leadership","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Customer Operations Manager (management/leadership) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00059","Retail Store Manager","management/leadership","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Retail Store Manager (management/leadership) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00121","Account Executive","sales/customer success","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Account Executive (sales/customer success) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00122","Customer Success Manager","sales/customer success","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Customer Success Manager (sales/customer success) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00123","Enterprise Account Manager","sales/customer success","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Enterprise Account Manager (sales/customer success) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00124","Solutions Consultant","sales/customer success","Enterprising","Social",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Solutions Consultant (sales/customer success) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00147","HR Generalist","HR/people operations","Conventional","Realistic",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","HR Generalist (HR/people operations) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00148","Talent Acquisition Partner","HR/people operations","Conventional","Realistic",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","Talent Acquisition Partner (HR/people operations) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00149","People Operations Manager","HR/people operations","Conventional","Realistic",36,69,37,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"decision consequence/accountability underweighted","People Operations Manager (HR/people operations) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00162","Procurement Specialist","operations/logistics","Conventional","Realistic",49,51,49,"Medium",48,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"human trust/relationship depth underweighted","Procurement Specialist (operations/logistics) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00163","Warehouse Manager","operations/logistics","Conventional","Realistic",49,51,49,"Medium",48,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"human trust/relationship depth underweighted","Warehouse Manager (operations/logistics) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00164","Distribution Manager","operations/logistics","Conventional","Realistic",49,51,49,"Medium",48,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"human trust/relationship depth underweighted","Distribution Manager (operations/logistics) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00165","Fleet Manager","operations/logistics","Conventional","Realistic",49,51,49,"Medium",48,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"human trust/relationship depth underweighted","Fleet Manager (operations/logistics) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00166","Operations Coordinator","operations/logistics","Conventional","Realistic",49,51,49,"Medium",48,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",1,1,"human trust/relationship depth underweighted","Operations Coordinator (operations/logistics) appears overestimated by 1 points versus human-prior benchmark."
"ONET-00178","Case Management Assistant","administration/support","Conventional","Social",49,51,49,"Medium",50,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","Case Management Assistant (administration/support) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00179","Project Coordinator","administration/support","Conventional","Social",49,51,49,"Medium",50,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","Project Coordinator (administration/support) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00180","Documentation Specialist","administration/support","Conventional","Social",49,51,49,"Medium",50,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-1,1,"AI disruption pressure likely underweighted","Documentation Specialist (administration/support) appears underestimated by 1 points versus human-prior benchmark."
"ONET-00032","Senior Software Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Senior Software Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00033","DevOps Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","DevOps Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00034","Site Reliability Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Site Reliability Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00035","Cloud Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Cloud Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00036","Cybersecurity Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Cybersecurity Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00037","Solutions Architect","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Solutions Architect (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00060","Product Manager","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Product Manager (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00061","Director of Operations","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Director of Operations (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00062","Chief of Staff","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Chief of Staff (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00063","Strategy Manager","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Strategy Manager (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00064","Business Unit Director","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Business Unit Director (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00129","Sales Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Sales Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00130","Partnerships Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Partnerships Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00131","Channel Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Channel Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00132","Customer Success Director","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Customer Success Director (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00143","Creative Director","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Creative Director (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00144","Brand Manager","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Brand Manager (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00145","Communications Director","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Communications Director (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00146","Product Marketing Manager","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Product Marketing Manager (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00154","HR Business Partner","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","HR Business Partner (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00155","Head of People","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Head of People (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00156","Organizational Development Manager","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Organizational Development Manager (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."